name,handedness,height,weight,avg,HR,weight_bin,height_bin
Fernando Gonzalez,R,70,165,0.235,17,170,70
Dalton Jones,L,73,180,0.235,41,180,73
Phil Linz,R,73,180,0.235,11,180,73
Craig Kusick,R,75,210,0.235,46,210,75
Al Luplow,L,70,175,0.235,33,180,70
Dave Kingman,R,78,210,0.236,442,210,80
Kurt Bevacqua,R,72,180,0.236,27,180,72
Byron Browne,R,74,190,0.236,30,190,74
Billy Cowan,R,72,170,0.236,40,170,72
Paul Householder,B,72,180,0.236,29,180,72
George Mitterwald,R,74,195,0.236,76,200,74
Bobby Knoop,R,73,170,0.236,56,170,73
Danny Goodwin,L,73,195,0.236,13,200,73
Bud Harrelson,B,71,160,0.236,7,160,71
Woody Woodward,R,74,180,0.236,1,180,74
Andy Kosco,R,75,205,0.236,73,210,75
Randy Hundley,R,71,170,0.236,82,170,71
Rodney Scott,B,72,160,0.236,3,160,72
Eddie Leon,R,72,170,0.236,24,170,72
Dave Rosello,R,71,160,0.236,10,160,71
Dale Berra,R,72,180,0.236,49,180,72
Bob Meacham,B,73,175,0.236,8,180,73
Luis Aguayo,R,69,173,0.236,37,180,69
Billy Grabarkewitz,R,70,165,0.236,28,170,70
Don Hahn,R,73,180,0.236,7,180,73
Doug Ault,R,75,200,0.236,17,200,75
Ivan Murrell,R,74,195,0.236,33,200,74
Aurelio Rodriguez,R,70,180,0.237,124,180,70
Jimmy Stewart,B,72,165,0.237,8,170,72
Rafael Landestoy,B,70,165,0.237,4,170,70
Glenn Burke,R,72,195,0.237,2,200,72
Jerry McNertney,R,72,180,0.237,27,180,72
Curt Blefary,L,74,195,0.237,112,200,74
Dave Edwards,R,72,170,0.237,14,170,72
Julio Cruz,B,69,165,0.237,23,170,69
Ed Stroud,L,71,180,0.237,14,180,71
Harry Spilman,L,73,180,0.237,18,180,73
Jackie Gutierrez,R,71,175,0.237,4,180,71
Jerry Kenney,L,73,170,0.237,7,170,73
Gil Garrido,R,69,150,0.237,1,160,69
Ed Spiezio,R,71,180,0.238,39,180,71
Rick Rhoden,R,75,195,0.238,9,200,75
Don Lock,R,74,195,0.238,122,200,74
John Donaldson,L,71,160,0.238,4,160,71
Doug Flynn,R,71,165,0.238,7,170,71
Chuck Harrison,R,70,185,0.238,17,190,70
Doc Edwards,R,74,215,0.238,15,220,74
Phil Gagliano,R,73,180,0.238,14,180,73
Ty Cline,L,72,170,0.238,6,170,72
Ron Roenicke,B,72,180,0.238,17,180,72
Norm Miller,L,70,185,0.238,24,190,70
Ed Kirkpatrick,L,71,195,0.238,85,200,71
Wayne Garrett,L,71,175,0.239,61,180,71
Chuck Schilling,R,70,160,0.239,23,160,70
Dave Roberts,R,75,215,0.239,49,220,75
Bernie Allen,L,72,175,0.239,73,180,72
Bruce Bochy,R,75,205,0.239,26,210,75
Duke Sims,L,74,197,0.239,100,200,74
Joe Hague,L,72,195,0.239,40,200,72
Bobby Clark,R,72,190,0.239,19,190,72
Onix Concepcion,R,66,160,0.239,3,160,68
Kiko Garcia,R,71,180,0.239,12,180,71
Charley Smith,R,73,170,0.239,69,170,73
Ken Phelps,L,73,209,0.239,123,210,73
Ron Brand,R,67,167,0.239,3,170,68
Ken Harrelson,R,74,190,0.239,131,190,74
Mike Ramsey,B,73,170,0.24,2,170,73
Mike Phillips,L,72,170,0.24,11,170,72
Ron Hodges,L,73,185,0.24,19,190,73
Ted Martinez,R,72,165,0.24,7,170,72
Ed Herrmann,L,73,195,0.24,80,200,73
Gary Gray,R,72,187,0.24,24,190,72
Dick Green,R,70,180,0.24,80,180,70
Domingo Ramos,R,70,154,0.24,8,160,70
Bill Schroeder,R,74,200,0.24,61,200,74
Pepe Frias,R,70,159,0.24,1,160,70
Joe Ferguson,R,74,200,0.24,122,200,74
Chico Ruiz,B,72,169,0.24,2,170,72
Rod Kanehl,R,73,180,0.241,6,180,73
Frank Tepedino,L,71,185,0.241,6,190,71
Dave Skaggs,R,74,200,0.241,3,200,74
Mike Tyson,R,69,170,0.241,27,170,69
Mickey Klutts,R,71,170,0.241,14,170,71
Bill Fahey,L,72,200,0.241,7,200,72
Tom Veryzer,R,73,175,0.241,14,180,73
Ron Stone,L,74,185,0.241,6,190,74
Bill Nahorodny,R,74,200,0.241,25,200,74
Joe Gaines,R,73,190,0.241,21,190,73
Hank Allen,R,72,190,0.241,6,190,72
Gene Tenace,R,72,190,0.241,201,190,72
Wayne Tolleson,B,69,160,0.241,9,160,69
Manny Castillo,B,69,160,0.242,3,160,69
Willie Norwood,R,72,185,0.242,18,190,72
Joe Simpson,L,75,175,0.242,9,180,75
Mike Hegan,L,73,188,0.242,53,190,73
Don Wert,R,70,162,0.242,77,170,70
Bob Robertson,R,73,195,0.242,115,200,73
Glenn Hoffman,R,73,175,0.242,23,180,73
Bruce Benedict,R,73,175,0.242,18,180,73
Johnny Edwards,L,76,220,0.242,81,220,76
Bob Brower,R,71,185,0.242,17,190,71
Ron Swoboda,R,74,195,0.242,73,200,74
Freddie Patek,R,65,148,0.242,41,160,68
Pepe Mangual,R,70,157,0.242,16,160,70
Marty Martinez,B,72,170,0.243,0,170,72
Darryl Motley,R,69,196,0.243,44,200,69
Ozzie Virgil,R,73,180,0.243,98,180,73
Chuck Hiller,L,71,170,0.243,20,170,71
Nate Colbert,R,74,190,0.243,173,190,74
Gary Woods,R,74,185,0.243,13,190,74
Bobby Mitchell,L,70,170,0.243,3,170,70
Steve Dillard,R,73,180,0.243,13,180,73
Rick Sofield,L,73,195,0.243,9,200,73
Mark Wagner,R,72,165,0.243,3,170,72
Rey Quinones,R,71,160,0.243,29,160,71
Hal Breeden,R,74,200,0.243,21,200,74
Mike Jorgensen,L,72,195,0.243,95,200,72
Rick Joseph,R,73,192,0.243,13,200,73
Gary Sutherland,R,72,185,0.243,24,190,72
Pedro Gonzalez,R,72,176,0.244,8,180,72
Johnny Jeter,R,73,180,0.244,18,180,73
Glenn Hubbard,R,69,150,0.244,70,160,69
Leroy Stanton,R,73,195,0.244,77,200,73
Ray Webster,L,72,185,0.244,17,190,72
Jim Essian,R,74,195,0.244,33,200,74
Deron Johnson,R,74,200,0.244,245,200,74
Paul Schaal,R,71,165,0.244,57,170,71
Dave Nelson,R,70,160,0.244,20,160,70
Joe Wallis,B,71,180,0.244,16,180,71
Mike Epstein,L,75,230,0.244,130,230,75
Floyd Rayford,R,70,190,0.244,38,190,70
Jack Brohamer,L,70,165,0.245,30,170,70
Angel Mangual,R,70,178,0.245,22,180,70
Roger Freed,R,72,190,0.245,22,190,72
Bobby Brown,B,74,190,0.245,26,190,74
Ted Cox,R,75,195,0.245,10,200,75
Roberto Pena,R,68,170,0.245,13,170,68
Sandy Alomar,B,69,140,0.245,13,160,69
Jody Davis,R,76,192,0.245,127,200,76
Tom Tresh,B,73,180,0.245,153,180,73
Doug Griffin,R,72,160,0.245,7,160,72
George Wright,B,71,180,0.245,42,180,71
Bryan Little,B,70,160,0.245,3,160,70
Alan Ashby,B,74,185,0.245,90,190,74
Ellie Rodriguez,R,71,185,0.245,16,190,71
Curt Ford,L,70,150,0.245,7,160,70
Tommy McCraw,L,72,183,0.246,75,190,72
Tom Brookens,R,70,165,0.246,71,170,70
Charlie Spikes,R,75,215,0.246,65,220,75
Joe Keough,L,72,185,0.246,9,190,72
Rafael Santana,R,73,165,0.246,13,170,73
Dave Marshall,L,73,182,0.246,16,190,73
Bruce Miller,R,73,185,0.246,1,190,73
Mike Anderson,R,74,200,0.246,28,200,74
Chris Speier,R,73,175,0.246,112,180,73
Marty Perez,R,71,160,0.246,22,160,71
Dwayne Murphy,L,73,185,0.246,166,190,73
Garry Hancock,L,72,175,0.247,12,180,72
Bucky Dent,R,69,170,0.247,40,170,69
Gary Roenicke,R,75,205,0.247,121,210,75
Lou Clinton,R,73,185,0.247,65,190,73
Adolfo Phillips,R,73,175,0.247,59,180,73
Dick McAuliffe,L,71,176,0.247,197,180,71
Mike Diaz,R,74,195,0.247,31,200,74
Darrell Porter,L,72,193,0.247,188,200,72
Marvell Wynne,L,71,175,0.247,40,180,71
Brant Alyea,R,75,215,0.247,38,220,75
Mike Lum,L,72,180,0.247,90,180,72
Earl Williams,R,75,215,0.247,138,220,75
Bob Heise,R,72,175,0.247,1,180,72
Max Alvis,R,71,185,0.247,111,190,71
Merritt Ranew,L,71,170,0.247,8,170,71
Bob Brenly,R,74,210,0.247,91,210,74
Ken Hubbs,R,74,175,0.247,14,180,74
Mike Young,B,74,195,0.247,72,200,74
Ed Romero,R,71,160,0.247,8,160,71
Darrell Evans,L,74,200,0.248,414,200,74
Jim Lyttle,L,72,180,0.248,9,180,72
Ken Boswell,L,72,170,0.248,31,170,72
Ken McMullen,R,75,190,0.248,156,190,75
Dick Howser,R,68,155,0.248,16,160,68
Willie Smith,L,72,182,0.248,46,190,72
Graig Nettles,L,72,180,0.248,390,180,72
Joe Foy,R,72,215,0.248,58,220,72
Tom Hutton,L,71,180,0.248,22,180,71
Danny Thompson,R,72,183,0.248,15,190,72
Jim Sundberg,R,72,190,0.248,95,190,72
Rob Wilfong,L,73,180,0.248,39,180,73
Ron Theobald,R,68,165,0.248,2,170,68
Carl Warwick,R,70,170,0.248,31,170,70
Butch Hobson,R,73,193,0.248,98,200,73
Mickey Stanley,R,73,185,0.248,117,190,73
Junior Kennedy,R,71,175,0.248,4,180,71
Rod Gilbreath,R,74,180,0.248,14,180,74
Steve Nicosia,R,70,185,0.248,11,190,70
Larry Harlow,L,74,185,0.248,12,190,74
Luis Melendez,R,72,165,0.248,9,170,72
Gary Thomasson,L,73,180,0.249,61,180,73
Tony Scott,B,72,164,0.249,17,170,72
Chico Salmon,R,70,160,0.249,31,160,70
Derrel Thomas,B,72,160,0.249,43,160,72
John Milner,L,72,185,0.249,131,190,72
Alex Trevino,R,70,165,0.249,23,170,70
Don Mincher,L,75,205,0.249,200,210,75
John Orsino,R,75,215,0.249,40,220,75
Jerry Royster,R,72,165,0.249,40,170,72
Tito Landrum,R,71,175,0.249,13,180,71
Tom Grieve,R,74,190,0.249,65,190,74
Denny Doyle,L,69,175,0.25,16,180,69
Dick Bertell,R,72,200,0.25,10,200,72
Johnny Oates,L,71,188,0.25,14,190,71
Terry Crowley,L,72,180,0.25,42,180,72
Rick Bosetti,R,71,185,0.25,17,190,71
Marv Breeding,R,72,175,0.25,7,180,72
Paul Blair,R,72,168,0.25,134,170,72
Jim Pankovits,R,70,170,0.25,9,170,70
Nick Esasky,R,75,200,0.25,122,200,75
Jim Spencer,L,74,195,0.25,146,200,74
Bob Stinson,B,71,180,0.25,33,180,71
Fran Healy,R,77,220,0.25,20,220,80
Joe Strain,R,70,169,0.25,1,170,70
Mike Edwards,R,70,154,0.25,2,160,70
Greg Pryor,R,72,180,0.25,14,180,72
Ruppert Jones,L,70,170,0.25,147,170,70
Jake Wood,R,73,163,0.25,35,170,73
Jimmy Wynn,R,70,160,0.25,291,160,70
Leron Lee,L,72,196,0.25,31,200,72
Denis Menke,R,72,185,0.25,101,190,72
Wilbur Howard,B,74,170,0.25,6,170,74
Otto Velez,R,72,170,0.251,78,170,72
Rico Petrocelli,R,72,175,0.251,210,180,72
Benny Ayala,R,73,185,0.251,38,190,73
Jim Lefebvre,B,72,180,0.251,74,180,72
Mike de la Hoz,R,71,175,0.251,25,180,71
U L Washington,B,71,175,0.251,27,180,71
Barry Evans,R,73,180,0.251,2,180,73
Lenny Faedo,R,72,170,0.251,5,170,72
Tim Foli,R,72,179,0.251,25,180,72
Albert Hall,B,71,155,0.251,5,160,71
Jack Hiatt,R,74,190,0.251,22,190,74
Jerry Martin,R,73,195,0.251,85,200,73
Sonny Jackson,L,69,150,0.251,7,160,69
Andre Robertson,R,70,155,0.251,5,160,70
Dave May,L,70,186,0.251,96,190,70
Bobby Darwin,R,74,190,0.251,83,190,74
Doug Rader,R,74,208,0.251,155,210,74
Rob Andrews,R,72,185,0.251,3,190,72
Jerry Moses,R,75,210,0.251,25,210,75
Jesse Gonder,L,70,180,0.251,26,180,70
Jim Hickman,R,75,192,0.252,159,200,75
Joe Azcue,R,72,190,0.252,50,190,72
Omar Moreno,L,74,180,0.252,37,180,74
Mike Hershberger,R,70,175,0.252,26,180,70
Dave Chalk,R,70,175,0.252,15,180,70
Don Kessinger,B,73,170,0.252,14,170,73
Mack Jones,L,73,180,0.252,133,180,73
Lynn Jones,R,69,175,0.252,7,180,69
Tony Armas,R,71,182,0.252,251,190,71
Jerry Grote,R,70,185,0.252,39,190,70
Fred Whitfield,L,73,190,0.253,108,190,73
Eddie Milner,L,71,173,0.253,42,180,71
Jerry White,B,70,164,0.253,21,170,70
John Mayberry,L,75,215,0.253,255,220,75
Larvell Blanks,R,68,167,0.253,20,170,68
John Lowenstein,L,72,175,0.253,116,180,72
Bill Melton,R,74,200,0.253,160,200,74
Rich Reese,L,75,185,0.253,52,190,75
Johnny Briggs,L,73,190,0.253,139,190,73
Terry Harper,R,76,195,0.253,36,200,76
Dan Meyer,L,71,180,0.253,86,180,71
Len Gabrielson,L,76,210,0.253,37,210,76
Roy Foster,R,72,185,0.253,45,190,72
Art Shamsky,L,73,168,0.253,68,170,73
Jerry Terrell,R,71,165,0.253,4,170,71
Ivan DeJesus,R,71,175,0.254,21,180,71
Sal Bando,R,72,195,0.254,242,200,72
Rich Chiles,L,71,170,0.254,6,170,71
Gene Alley,R,70,160,0.254,55,160,70
Pete Ward,L,73,185,0.254,98,190,73
Larry Milbourne,B,72,161,0.254,11,170,72
Felix Torres,R,71,165,0.254,27,170,71
Jimmie Hall,L,72,175,0.254,121,180,72
Bob Boone,R,74,195,0.254,105,200,74
Andre Thornton,R,75,200,0.254,253,200,75
Bill Almon,R,75,180,0.254,36,180,75
Brian Asselstine,L,73,175,0.254,12,180,73
Bo Diaz,R,71,185,0.255,87,190,71
Pat Putnam,L,72,205,0.255,63,210,72
Frank White,R,71,165,0.255,160,170,71
Tim Flannery,L,71,175,0.255,9,180,71
Ken Berry,R,72,175,0.255,58,180,72
Frank Taveras,R,72,155,0.255,2,160,72
Tony Solaita,L,72,210,0.255,50,210,72
Bob Dernier,R,72,160,0.255,23,160,72
Charlie James,R,73,195,0.255,29,200,73
Lee Thomas,L,74,195,0.255,106,200,74
Wallace Johnson,B,72,173,0.255,5,180,72
Tommie Agee,R,71,195,0.255,130,200,71
Champ Summers,L,74,205,0.255,54,210,74
Butch Wynegar,B,73,190,0.255,65,190,73
Mike Shannon,R,75,195,0.255,68,200,75
Bill Sharp,L,70,178,0.255,9,180,70
Juan Bonilla,R,69,170,0.256,7,170,69
Walt Bond,L,79,228,0.256,41,230,80
Cito Gaston,R,75,190,0.256,91,190,75
Billy Conigliaro,R,72,180,0.256,40,180,72
Horace Clarke,B,69,170,0.256,27,170,69
Craig Reynolds,L,73,175,0.256,42,180,73
Ike Brown,R,72,190,0.256,20,190,72
Boots Day,L,69,160,0.256,8,160,69
Ray Fosse,R,74,215,0.256,61,220,74
